NAME,ELO,YEAR
Boise State,1791.61462604,2016.0
George Washington,1791.6119847,2015.0
Maryland,1791.55595848,2014.0
Hofstra,1791.273559,2016.0
Penn State,1790.39534646,2017.0
Montana,1789.98477902,2012.0
Saint Mary's (CA),1789.4321678,2014.0
Belmont,1789.26538061,2011.0
Grand Canyon,1788.74128475,2017.0
Green Bay,1788.42860319,2015.0
Connecticut,1788.41229126,2011.0
Ohio,1788.12124929,2012.0
Memphis,1787.98252354,2016.0
Texas A&M-Corpus Christi,1787.93882649,2016.0
Northern Kentucky,1787.83752162,2017.0
New Mexico State,1787.11582565,2016.0
Texas-Arlington,1786.97138537,2017.0
Kansas State,1786.4606528,2015.0
Miami (FL),1784.7247896,2014.0
North Carolina-Greensboro,1784.27301324,2017.0
Georgetown,1783.85589402,2016.0
Toledo,1783.74945951,2014.0
Iona,1783.68603814,2016.0
Pittsburgh,1783.46866174,2011.0
Texas-El Paso,1783.43957907,2014.0
Colorado,1783.31537524,2012.0
Belmont,1783.00983073,2017.0
Richmond,1782.9857841,2011.0
Massachusetts,1782.46605429,2013.0
Nevada-Las Vegas,1781.77624834,2014.0
Georgia State,1781.67111713,2015.0
St. John's (NY),1780.96884115,2017.0
Belmont,1780.81476433,2014.0
George Mason,1780.59558492,2011.0
Florida State,1780.05280956,2013.0
Iowa State,1779.14228738,2012.0
Green Bay,1778.80043794,2014.0
Virginia,1777.91333251,2013.0
South Dakota State,1777.42081509,2017.0
Baylor,1776.65886029,2013.0
Louisiana State,1775.30723673,2014.0
North Carolina State,1775.02779199,2017.0
Georgia State,1774.90708512,2014.0
Old Dominion,1774.65001988,2016.0
Ohio,1774.2097846,2013.0
Alabama,1774.06939752,2015.0
Buffalo,1773.94706377,2016.0
Arizona,1773.87106461,2012.0
Weber State,1773.83918667,2013.0
Stephen F. Austin,1773.10832714,2013.0
Clemson,1772.74517727,2015.0
Old Dominion,1772.49158557,2015.0
La Salle,1772.43372826,2013.0
Texas,1772.32538854,2017.0
Tennessee,1772.160204,2015.0
Illinois,1772.12125307,2016.0
South Dakota State,1771.11942329,2013.0
Saint Louis,1770.38933514,2012.0
New Mexico State,1770.19248322,2014.0
Belmont,1769.48375805,2015.0
