YEAR,ROUND,SEED,TEAM,SCORE,OPP_SEED,OPPONENT,OPP_SCORE,SCORE_DIFF,RESULT
1991,Sweet 16,3,Oklahoma State,63,10,Temple,72,-9,LOSS
1991,First Round,6,New Mexico State,56,11,Creighton,64,-8,LOSS
1991,Second Round,5,Wake Forest,88,4,Alabama,96,-8,LOSS
1991,National Championship,3,Kansas,65,2,Duke,72,-7,LOSS
1991,First Round,14,New Orleans,49,3,Kansas,55,-6,LOSS
1991,First Round,14,New Orleans,49,3,Kansas,55,-6,LOSS
1991,Final Four,1,North Carolina,73,3,Kansas,79,-6,LOSS
1991,First Round,4,UCLA,69,13,Penn State,74,-5,LOSS
1991,Sweet 16,2,Arizona,77,3,Seton Hall,81,-4,LOSS
1991,First Round,10,East Tennessee State,73,7,Iowa,76,-3,LOSS
1991,First Round,10,Southern California,72,7,Florida State,75,-3,LOSS
1991,First Round,8,Princeton,48,9,Villanova,50,-2,LOSS
1991,Second Round,5,Michigan State,84,4,Utah,85,-1,LOSS
1991,First Round,9,Villanova,50,8,Princeton,48,2,WIN
1991,Final Four,2,Duke,79,1,UNLV,77,2,WIN
1991,First Round,5,Michigan State,60,12,Green Bay,58,2,WIN
1991,Elite Eight,1,North Carolina,75,10,Temple,72,3,WIN
1991,First Round,7,Florida State,75,10,Southern California,72,3,WIN
1991,Sweet 16,3,Seton Hall,81,2,Arizona,77,4,WIN
1991,First Round,14,Xavier,89,3,Nebraska,84,5,WIN
1991,Final Four,3,Kansas,79,1,North Carolina,73,6,WIN
1991,First Round,3,Kansas,55,14,New Orleans,49,6,WIN
1991,First Round,5,Wake Forest,71,12,Louisiana Tech,65,6,WIN
1991,National Championship,2,Duke,72,3,Kansas,65,7,WIN
1991,Second Round,1,Arkansas,97,8,Arizona State,90,7,WIN
1991,First Round,11,Creighton,64,6,New Mexico State,56,8,WIN
1991,Second Round,3,Oklahoma State,73,6,North Carolina State,64,9,WIN
1991,Second Round,3,Kansas,77,6,Pittsburgh,66,11,WIN
1991,Elite Eight,3,Kansas,93,1,Arkansas,81,12,WIN
1991,Second Round,3,Seton Hall,81,11,Creighton,69,12,WIN
1991,Second Round,2,Arizona,81,10,Brigham Young,69,12,WIN
1991,First Round,3,Oklahoma State,67,14,New Mexico,54,13,WIN
1991,First Round,2,Arizona,93,15,St. Francis (Pa.),80,13,WIN
1991,Sweet 16,2,Duke,81,11,Connecticut,67,14,WIN
1991,Second Round,2,Duke,85,7,Iowa,70,15,WIN
1991,Second Round,1,North Carolina,84,9,Villanova,69,15,WIN
1991,Elite Eight,2,Duke,78,4,St. John's,61,17,WIN
1991,Sweet 16,3,Kansas,83,2,Indiana,65,18,WIN
1991,First Round,3,Seton Hall,71,14,Pepperdine,51,20,WIN
1991,Sweet 16,1,Arkansas,93,4,Alabama,70,23,WIN
1991,Sweet 16,1,North Carolina,93,12,Eastern Michigan,67,26,WIN
1991,First Round,2,Duke,102,15,Louisiana-Monroe,73,29,WIN
1991,First Round,1,North Carolina,101,16,Northeastern,66,35,WIN
1991,First Round,1,Arkansas,117,16,Georgia State,76,41,WIN
1992,Elite Eight,1,UCLA,79,2,Indiana,106,-27,LOSS
1992,First Round,9,Wake Forest,58,8,Louisville,81,-23,LOSS
1992,National Championship,6,Michigan,51,1,Duke,71,-20,LOSS
1992,Second Round,8,Louisville,69,1,UCLA,85,-16,LOSS
1992,Second Round,14,East Tennessee State,90,6,Michigan,102,-12,LOSS
1992,Second Round,5,Michigan State,65,4,Cincinnati,77,-12,LOSS
1992,Sweet 16,4,Seton Hall,69,1,Duke,81,-12,LOSS
1992,First Round,12,West Virginia,78,5,Missouri,89,-11,LOSS
1992,Sweet 16,3,Florida State,74,2,Indiana,85,-11,LOSS
1992,Second Round,10,Iowa State,98,2,Kentucky,106,-8,LOSS
1992,First Round,11,Princeton,43,6,Syracuse,51,-8,LOSS
1992,Sweet 16,12,New Mexico State,78,1,UCLA,85,-7,LOSS
1992,Sweet 16,4,North Carolina,73,1,Ohio State,80,-7,LOSS
1992,First Round,3,Arizona,80,14,East Tennessee State,87,-7,LOSS
1992,Second Round,1,Kansas,60,9,UTEP,66,-6,LOSS
1992,Final Four,4,Cincinnati,72,6,Michigan,76,-4,LOSS
1992,Sweet 16,2,Oklahoma State,72,6,Michigan,75,-3,LOSS
1992,Second Round,3,Arkansas,80,6,Memphis,82,-2,LOSS
1992,Second Round,2,Southern California,78,7,Georgia Tech,79,-1,LOSS
1992,Elite Eight,2,Kentucky,103,1,Duke,104,-1,LOSS
1992,Elite Eight,1,Duke,104,2,Kentucky,103,1,WIN
1992,First Round,10,Iowa State,76,7,Charlotte,74,2,WIN
1992,First Round,4,Seton Hall,78,13,La Salle,76,2,WIN
1992,Sweet 16,4,Cincinnati,69,9,UTEP,67,2,WIN
1992,Final Four,1,Duke,81,2,Indiana,78,3,WIN
1992,Sweet 16,6,Michigan,75,2,Oklahoma State,72,3,WIN
1992,Final Four,6,Michigan,76,4,Cincinnati,72,4,WIN
1992,Elite Eight,6,Michigan,75,1,Ohio State,71,4,WIN
1992,First Round,4,North Carolina,68,13,Miami (Ohio),63,5,WIN
1992,First Round,14,East Tennessee State,87,3,Arizona,80,7,WIN
1992,First Round,5,Michigan State,61,12,Missouri State,54,7,WIN
1992,First Round,6,Michigan,73,11,Temple,66,7,WIN
1992,Sweet 16,1,UCLA,85,12,New Mexico State,78,7,WIN
1992,Second Round,12,New Mexico State,81,13,Louisiana-Lafayette,73,8,WIN
1992,First Round,12,New Mexico State,81,5,DePaul,73,8,WIN
1992,Second Round,2,Kentucky,106,10,Iowa State,98,8,WIN
1992,Second Round,4,North Carolina,64,5,Alabama,55,9,WIN
1992,Sweet 16,2,Kentucky,87,3,Massachusetts,77,10,WIN
1992,Second Round,3,Florida State,78,6,Georgetown,68,10,WIN
1992,First Round,3,Florida State,78,14,Montana,68,10,WIN
1992,First Round,3,Arkansas,80,14,Murray St.,69,11,WIN
1992,Sweet 16,1,Duke,81,4,Seton Hall,69,12,WIN
1992,Second Round,6,Michigan,102,14,East Tennessee State,90,12,WIN
1992,Second Round,4,Cincinnati,77,5,Michigan State,65,12,WIN
1992,Second Round,1,Duke,75,9,Iowa,62,13,WIN
1992,Second Round,2,Oklahoma State,87,10,Tulane,71,16,WIN
1992,Second Round,1,UCLA,85,8,Louisville,69,16,WIN
1992,Second Round,4,Seton Hall,88,5,Missouri,71,17,WIN
1992,First Round,2,Kentucky,88,15,Old Dominion,69,19,WIN
1992,National Championship,1,Duke,71,6,Michigan,51,20,WIN
1992,First Round,1,UCLA,73,16,Robert Morris,53,20,WIN
1992,First Round,8,Louisville,81,9,Wake Forest,58,23,WIN
1992,First Round,1,Duke,82,16,Campbell,56,26,WIN
