2001,1,12,0,86,5,0,85,1,WIN
2003,1,9,0,74,8,0,69,5,WIN
2004,1,2,0,76,15,0,49,27,WIN
2005,1,3,0,74,14,0,64,10,WIN
2006,1,3,0,79,14,0,75,4,WIN
2009,1,4,0,77,13,0,64,13,WIN
2010,1,8,0,67,9,0,60,7,WIN
2011,1,11,0,86,6,0,71,15,WIN
2012,1,7,0,77,10,0,54,23,WIN
2013,1,1,0,64,16,0,58,6,WIN
2014,1,8,0,85,9,0,77,8,WIN
2015,1,2,0,86,15,0,76,10,WIN
2016,1,11,0,68,6,0,52,16,WIN
2003,2,9,0,95,1,0,96,-1,LOSS
2004,2,2,0,72,10,0,91,-19,LOSS
2005,2,3,0,69,6,0,71,-2,LOSS
2010,2,8,0,65,1,0,87,-22,LOSS
2011,2,11,0,67,3,0,89,-22,LOSS
2012,2,7,0,66,2,0,73,-7,LOSS
2013,2,1,0,70,9,0,76,-6,LOSS
2014,2,8,0,61,1,0,84,-23,LOSS
1999,2,10,0,82,2,0,74,8,WIN
2000,2,10,0,82,2,0,76,6,WIN
2001,2,12,0,85,13,0,68,17,WIN
2006,2,3,0,90,6,0,80,10,WIN
2009,2,4,0,83,12,0,81,2,WIN
2015,2,2,0,87,7,0,68,19,WIN
2016,2,11,0,82,3,0,59,23,WIN
2000,3,10,0,66,6,0,75,-9,LOSS
2001,3,12,0,62,1,0,77,-15,LOSS
2006,3,3,0,71,2,0,73,-2,LOSS
2009,3,4,0,77,1,0,98,-21,LOSS
2016,3,11,0,60,10,0,63,-3,LOSS
1999,3,10,0,73,6,0,72,1,WIN
2015,3,2,0,74,11,0,62,12,WIN
1985,1,13,0,58,4,0,59,-1,LOSS
1998,1,12,0,61,5,0,63,-2,LOSS
2000,1,14,0,59,3,0,74,-15,LOSS
2001,1,14,0,70,3,0,72,-2,LOSS
2006,1,13,0,64,4,0,80,-16,LOSS
2013,1,15,0,70,2,0,95,-25,LOSS
2016,1,13,0,81,4,0,94,-13,LOSS
2012,0,14,0,72,14,0,78,-6,LOSS
2000,4,2,0,64,1,0,75,-11,LOSS
1985,1,13,0,64,4,0,75,-11,LOSS
1988,1,12,0,78,5,0,90,-12,LOSS
1989,1,10,0,74,7,0,84,-10,LOSS
1993,1,8,0,70,9,0,81,-11,LOSS
2001,1,2,0,57,15,0,58,-1,LOSS
2015,1,3,0,59,14,0,60,-1,LOSS
1986,1,7,0,81,10,0,79,2,WIN
1992,1,10,0,76,7,0,74,2,WIN
1995,1,7,0,64,10,0,61,3,WIN
1996,1,5,0,74,12,0,64,10,WIN
1997,1,6,0,69,11,0,57,12,WIN
2000,1,2,0,88,15,0,78,10,WIN
2005,1,9,0,64,8,0,53,11,WIN
2012,1,8,0,77,9,0,64,13,WIN
2013,1,10,0,76,7,0,58,18,WIN
2014,1,3,0,93,14,0,75,18,WIN
2016,1,4,0,94,13,0,81,13,WIN
1992,2,10,0,98,2,0,106,-8,LOSS
1995,2,7,0,51,2,0,73,-22,LOSS
1996,2,5,0,67,4,0,73,-6,LOSS
2005,2,9,0,65,1,0,92,-27,LOSS
2012,2,8,0,71,1,0,87,-16,LOSS
2013,2,10,0,75,2,0,78,-3,LOSS
1986,2,7,0,72,2,0,69,3,WIN
1997,2,6,0,67,3,0,66,1,WIN
2000,2,2,0,79,7,0,60,19,WIN
2014,2,10,0,85,6,0,83,2,WIN
2016,2,4,0,78,12,0,61,17,WIN
1986,3,7,0,66,6,0,70,-4,LOSS
1997,3,6,0,73,2,0,74,-1,LOSS
2014,3,3,0,76,7,0,81,-5,LOSS
2016,3,4,0,71,1,0,84,-13,LOSS
2000,3,2,0,80,6,0,56,24,WIN
1996,4,2,0,57,4,0,60,-3,LOSS
2004,4,4,0,71,3,0,79,-8,LOSS
2007,4,1,0,55,2,0,68,-13,LOSS
2011,4,1,0,61,11,0,71,-10,LOSS
2016,4,1,0,59,2,0,64,-5,LOSS
1986,4,1,0,75,6,0,67,8,WIN
1988,4,6,0,71,4,0,58,13,WIN
1991,4,3,0,93,1,0,81,12,WIN
1993,4,2,0,83,1,0,77,6,WIN
2002,4,1,0,104,2,0,86,18,WIN
2003,4,2,0,78,1,0,75,3,WIN
2008,4,1,0,59,10,0,57,2,WIN
2012,4,2,0,80,1,0,67,13,WIN
1986,5,1,0,67,1,0,71,-4,LOSS
1993,5,2,0,68,1,0,78,-10,LOSS
2002,5,1,0,88,1,0,97,-9,LOSS
1988,5,6,0,66,2,0,59,7,WIN
1991,5,3,0,79,1,0,73,6,WIN
2003,5,2,0,94,3,0,61,33,WIN
2008,5,1,0,84,1,0,66,18,WIN
2012,5,2,0,64,2,0,62,2,WIN
2005,1,3,0,63,14,0,64,-1,LOSS
2006,1,4,0,73,13,0,77,-4,LOSS
1985,1,3,0,49,14,0,38,11,WIN
1986,1,1,0,71,16,0,46,25,WIN
1987,1,5,0,66,12,0,55,11,WIN
1988,1,6,0,85,11,0,72,13,WIN
1990,1,2,0,79,15,0,71,8,WIN
1991,1,3,0,55,14,0,49,6,WIN
1992,1,1,0,100,16,0,67,33,WIN
1993,1,2,0,94,15,0,72,22,WIN
1994,1,4,0,102,13,0,73,29,WIN
